super,improve
Environment/Facilities,More tables and chairs to do more types of craft and arts
Environment/Facilities,Ordering dressings and not receiving them until a couple of weeks later or at all
Environment/Facilities,Treatment room to be downstairs stairs are a killer 
Couldn't be improved,nothing
Care/ Treatment,Gone through each section not just two
Care/ Treatment,make it hurt less
Staff/Staff Attitude,An increase in your staffing would most definitely enhance the service a much needed service 
Environment/Facilities,More bikes cars etc 
Privacy and Dignity,Privacy to make and receive phone calls Kingsley Ward phone was in a busy corridor
Care/ Treatment,Let patients with several illnesses make longer appointments to discuss more than 1 problem as often several problems go unnoticed Not always easy to get answers to questions
Staff/Staff Attitude,I would like more familiar staff                                                                                                                                                                                                                               
Communication,I would like the service to be  up and the staff to communicate with one another or at least read the notes so that they are up to date  and for the notes to be in one place or to be managed electronically
Care/ Treatment,Give me some happy pills
Couldn't be improved,I am happy with everything
Couldn't be improved,Nothing
Staff/Staff Attitude,Would like to be given a time so I know when your coming The nurses are rushed so more time would be better
Couldn't be improved,Nothing very informative
Couldn't be improved,Nothing
Couldn't be improved,nothing it was great
Access to Services,waiting times to gain access to the service
Access to Services,I would have liked to be seen a lot sooner
Couldn't be improved,Nothing
Access to Services,No waiting lists
Staff/Staff Attitude,Make the activities longer
Staff/Staff Attitude,Better trained staff ie care assistants
Couldn't be improved,Nothing
Access to Services,I had to wait a long time It was two months to get an event recorder after my initial symptoms
Couldn't be improved,Nothing Very good
Communication,Text message at weekends cant get through to crisis team because Deaf 
Couldn't be improved,nothing  all good
Couldn't be improved,Nothing
Staff/Staff Attitude,Felt the first Doctor I saw was V dismissive and not appreciative of how V distressed I was feeling
Couldn't be improved,nothing
Couldn't be improved,Nothing its me who has the problem
Couldn't be improved,Nothing
Care/ Treatment,brilliant team just wish in my husbands case they could come every day
Couldn't be improved,Nothing
Staff/Staff Attitude,More time to stop and chat They are all so busy
Couldn't be improved,Nothing
Care/ Treatment,It would be helpful if the appointment could be close to the scheduled time Dementia sufferers tend to be anxious which is not helped by a wait of an hour longer than expected
Food,Silly taking menu choices three days before 
Communication,Listern to patients more
Communication,Listening and expressing verbal communication from all avenues
Care/ Treatment,Access to female lounge  female bath area 
Care/ Treatment,More activities to do to keep me occupied
Communication,You could interact more
Service Quality/Outcomes,Loads of stuff 
Access to Services,Maybe have the group on for longer sessions
Staff/Staff Attitude,More ward rounds more inclusion More exercise short staffing
Care/ Treatment,Give a timed visit
Staff/Staff Attitude,More staff on the shop floor
Couldn't be improved,nothing  all good
Access to Services,This course was developed and delivered so well It should be rolled out across Nottingham 
Service Quality/Outcomes,The service is not as good as it was But this is a general sign of the times and cutbacks
Couldn't be improved,Nothing
Care/ Treatment,Booking in would be better
Care/ Treatment,More staff ratio and more sessions running eg football We have an art staff on the peaks we never use I myself and a couple of others would like to play football
Environment/Facilities,Providing transport car for the patients who have to come here for treatment then getting home after an operation
Communication,The screening appointment could be managed better in that  I was not told where I was on the waiting list It would be helpful if someone could have informed me that I was still on the waiting list and someone would contact me Ay screening was informed that I would be seen right away 
Couldn't be improved,Nothing everything was very good 
Access to Services,Nothing at this point although the appointment took a long time due to waiting for a letter responding to the letter then waiting again for the appointment
Communication,Let me know when you will be coming to make sure we are in when you call 
Couldn't be improved,Nothing  excellent
Couldn't be improved,Not a lot really
Care/ Treatment,Flexible gym times                                                                                                                                                                                                                                             
Care/ Treatment,more exercises
Communication,Listen to parents
Access to Services,Would like more appointments
Staff/Staff Attitude,More time
Couldn't be improved,nothing
Couldn't be improved,Nothing at all
Couldn't be improved,nothing
Staff/Staff Attitude,A lot better respect Trust Less mentalpsychological abuse by nursing staff Not surrounding patient or ganging up on them Some avoid listening to you others make time  Not enough staff resources or options to improve and keep safe
Communication,Will be declining to complete survey again
Couldn't be improved,Everything staff do Im happy with
Environment/Facilities,More emergency resource needed
Couldn't be improved,Happy with set up
Care/ Treatment,Not slam all the doors Main entrance particularly
Access to Services,Process to be seen by psychiatrist to be quicker
Privacy and Dignity,Make it more private
Care/ Treatment,More activities for the service users
Access to Services,The waiting time until I was offered the treatment was very long
Access to Services,More local appointment options though I understood this may not always be possible ie locationtimeday  Being given the option of preferrable contact options letter text email etc
Couldn't be improved,I was completely satisfied with my treatment plan
Access to Services,Not much  only maybe more days available
Care/ Treatment,More available appointments
Care/ Treatment,Punctualityregular times of visits
Environment/Facilities,Dedicated room for SMT on each wing so as interviews with service users dont have to be done in ear shot of other prisoners
Access to Services,More availability of therapy groups
Environment/Facilities,More parking availability at Stapleford Care Center
Access to Services,Sometimes wait is long to get an appointment
Care/ Treatment,It would be nice to have a gym in here Would help people maintain the 
Couldn't be improved,nothing
Care/ Treatment,I would start to work with groups to help my progress such as Mental Health Awareness Anger Management Problem Solving cos I have not started these yet                                                                                                       
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Access to Services,A longer course not so intense
Leave,A little more time in the garden A hot tub
Care/ Treatment,I would have preferred to have some idea of when the physios were coming though I realise the difficulties More than once I had to cancel the chance of going out because I did not know the timings
Staff/Staff Attitude,Not nearly enough time to talk about how problems affect me  Feels like a factory line sometimes
Staff/Staff Attitude,More staff
Environment/Facilities,Bigger room for weighing
Communication,Stop sending these silly forms
Care/ Treatment,Better communication on transfer to hospital Why transfer to different consultant Treatment was delayed so got very ill
Couldn't be improved,Nothing
Couldn't be improved,everything was done well
Service Quality/Outcomes,I have had steroid injection in my shoulder and it has helped but after 6 months my shoulder is really painful with limited movement  This is why I feel I need to see a physiotherapist
Couldn't be improved,Nothing everything is 100
Access to Services,Time between referral and visit
Communication,When attending an appointment not to be asked what do you think the service can do for me At this stage how could I know this
Couldn't be improved,Nothing at the moment
Access to Services,more Physio
Couldn't be improved,Nothing it was really good
Access to Services,Waiting around too long
Care/ Treatment,Been 3 times and did not get Gabapentine Meds 
Staff/Staff Attitude,More continuity but otherwise very happy
Couldn't be improved,Nothing 
Couldn't be improved,Cant think of anything they could do any better
Care/ Treatment,An idea for more trip eg Skegness
Communication,More honest and open discourse Better interpersonal collaberation However Im not sure that I was put into the right service by placing me on EIP
Access to Services,I would say see more children more often
Care/ Treatment,When telephoning team for support sometimes feel as though not enough time available because other calls coming in
Couldn't be improved,None 
Couldn't be improved,no improvement needed  a good place all round
Access to Services,Make it longer
Couldn't be improved,Nothing
Staff/Staff Attitude,Think differently
Staff/Staff Attitude,MORE SUPPORT NEEDED A COUPLE OF TIMES WHEN MUM HAD FALL HAD TO RING 999
Service Quality/Outcomes,More money  More machines  More caring
Couldn't be improved,nothing
Couldn't be improved,nothing
Couldn't be improved,no
Care/ Treatment,would like timed appts
Couldn't be improved,Nothing
Access to Services,less waiting
Care/ Treatment,More control over Mediation in general depot injection
Care/ Treatment,More holiday and afternoon activities 
Service Quality/Outcomes,Help with personal carewashing is poor  Have someone in charge  Food could be better  Staff could tell the truth and not defend each other  Pull chords to request assistance
Couldn't be improved,Nothing
Communication,More speakers Perhaps introduce people more who are new
Couldn't be improved,Not much everything seemed to work well
Communication,explained after effects more
Couldn't be improved,I would not like to improve it as it is very good They have helped me out a lot
Couldn't be improved,Nothing
Communication,More communication
Couldn't be improved,Nothing
Staff/Staff Attitude,Does not seem to be enough staff in team
Couldn't be improved,It was good happy
Couldn't be improved,More support to be given to Healthcare staff to be able to continue to deliver high quality care
Access to Services,how long it lasts make it last longer
Food,Food variety
Environment/Facilities,I could not suggest anyway that the carer I received could be improved it was already 1st class X has helped me through an extremely tough time and in the process has given me confidence and a hope for the future One possible improvement could be to make the room more relaxing with better chairs and perhaps a water cooler but obviously these are secondary to maintaining your excellent staff
Environment/Facilities,Get better chairs for wards in the whole hospital leather ones green chairs                                                                                                                                                                                    
Care/ Treatment,Would like oxygen when needed because of my low blood levels
Environment/Facilities,not running out of dressings by beginning of the week 
Access to Services,My therapist was very good and the only thing I could comment on was initially maybe a little more time to talk with me could have been good as after filling in assessments forms sometimes felt like talking time was rushed but overall excellent service and well done on the help given to me
Access to Services,Improve the waiting time
Couldn't be improved,Nothing to change your service is second to none
Involvement,There still needs to be more transparency in the decisions that the MDT make and directness in their approach I also believe that staff could be more open and honest with their emotions ie effected by a patients behaviour actions
Leave,We need more freedom off the ward Why is there more freedom on Willows than Rowan
Access to Services,More of the same 
Couldn't be improved,Nothing 
Couldn't be improved,nothing
Couldn't be improved,I feel the service is as pretty much as it could be
Staff/Staff Attitude,Staff to talk to at night
Staff/Staff Attitude,Less agency staff
Couldn't be improved,Nothing
Couldn't be improved,No complaints
Couldn't be improved,Everything is fine
Couldn't be improved,Nothing  Positive difference  they need to do a bit better job
Staff/Staff Attitude,Kings mill delivery suite staff very good to myself and newborn
Access to Services,I see people more regular
Service Quality/Outcomes,Not wanting to feel nothing achieved
Couldn't be improved,nothing
Care/ Treatment,During detox it would be better to have more things to do with regards in stopping drinking Also I brought my DVD player in which made everyone calm Maybe there could be questions puzzles regarding drinking  and  stopping
Couldn't be improved,Nothing amazing sessio
Couldn't be improved,Nothing
Couldn't be improved,Nothing Its a lovely group with lovely staff
Couldn't be improved,Nothing Everything is good thank you
Environment/Facilities,More cups in the kitchen
Involvement,Would like to have more input on what thinks best for myself ie the patient
Access to Services,My only suggestion to improve the experience is to make the process of self referral easier I was extremely anxious about starting the process even to look at the leaflet given by my GP I found the online process very complicated it didnt work and i became very anxious  Having filled in a form online was very difficult  look for me to acknowledgearticulate my feelings and not be able to submit it At the time making any phone call was very difficult so having to ring the service and start again was very stressful i was given a time slot for a counselor to ring me and got very stress waiting for this to take place No one rang so had to call lets talk to explain that no one had called meThis was addressed and I was given another time slot The  second time slot I had was with XXXX who I found was very helpful calm and supportive The point I am trying to make is that it is very difficult to acknowledge and address issues of anxiety and depression to ask for help and then act on it so any measures which can be put in place to make the process easier and less traumatic are gratefully received
Couldn't be improved,Improvement is a matter of progress Alls well
Communication,The only thing was nurses kept calling Dad the wrong name
Leave,More staff and escorts to go out when on escorted leave and to do OT
Care/ Treatment,More appointments and more VDTs available
Staff/Staff Attitude,Having someone to talk to who understood about my medication
Couldn't be improved,Nothing my worker has been very helpful and helped me a lot
Staff/Staff Attitude,Provide more visits where possible Interaction with matron team is as good as getting GPs who are so busy
Couldn't be improved,Absolutely nothing the care is exemplory
Communication,If all staff listened to me  Food is not as good as it was last time I was here  Little choice for lactose intolerance 
Couldn't be improved,It is a very good hospital  Nothing to complain about
Access to Services,More psychological therapy that can be accessed on the ward 
Communication,Communications between NHS departments could be improved
Couldn't be improved,Nothing  everything was fine
Couldn't be improved,just keep up the good work
Environment/Facilities,The room was too Cold
Couldn't be improved,Everyone was friendly to my son so it was brilliant as could be 
Environment/Facilities,other than the provision of specialidt equipment to help with biomechanical analysis not very much
Couldn't be improved,Nothing
Couldn't be improved,Nothing 
Access to Services,Quicker service seen on scheduled time
Care/ Treatment,would like a first aid course
Staff/Staff Attitude,More 11 time with primary nurse  Better quality food  More structure in the day eg activities linked to individual care plan  More effective communication between staff  sometimes information I gave to someone was not passed on to people on next shift 
Couldn't be improved,Cant think of anything it has been very good
Care/ Treatment,For the courses to be more complex
Couldn't be improved,Nothing
Environment/Facilities,I would like to play on the playground outside area in the Childrens Centre
Access to Services,Possibly seeing clinician more regularly felt get more out of it if more regular
Access to Services,More frequent visits
Access to Services,To have the treatment more often
Communication,Listen more to carers needs and health problems and help solve situations Emotions need more attention  Discuss feelings of carers  patients  Dont ask questions about weekly progress  Give more confidence to both cares  patients
Environment/Facilities,Better facilities
Couldn't be improved,i feel there is nothing that could be improved the nurses were very informative and understanding
Access to Services,Make more sessions be available on Thursday  Friday 
Access to Services,dates of clinic at Ravenshead
Care/ Treatment,Make the nurses more available sometimes they are so bogged down with paperwork that its hard to find them to talk about a problem 
Couldn't be improved,Everything done well
Communication,A better understanding of what is being assessed and why Very difficult asking questions when there to support my mother and she could hear what is being said so feels like she is being talkes about As a carer I feel limited as to how much I can ask
Couldn't be improved,Nothing 
Environment/Facilities,Didnt like room too claustrophobic but okay with therapy
Staff/Staff Attitude,community of care from same staff member at each visit
Couldn't be improved,Nothing
Couldn't be improved,I think it is hard to improve on my services
Care/ Treatment,more groups for older children in the school holidays  nothing much to do
Couldn't be improved,nothing
Access to Services,I would have liked a longterm therapy as I suffer from CPTSD and sixteen sessions arent enough as Ive experienced more than one trauma
Access to Services,I dont think the number of sessions should be restricted 
Couldn't be improved,nothing
Couldn't be improved,change nothing excellent work and team
Staff/Staff Attitude,More staff
Couldn't be improved,Nothing at all
Couldn't be improved,No
Couldn't be improved,Nothing it is all very good
Care/ Treatment,Tyhere could be more chance to choose activities at groups 
Access to Services,Waiting time 7 months from referral  waiting over an hour for appointment  It took time and she is now unable to live independently 
Access to Services,Far too long to get support 8 month to long
Couldn't be improved,Nothing at the moment
Couldn't be improved,Nothing  care received was excellent
Care/ Treatment,More talk about medication needs
Staff/Staff Attitude,Wish to have the same matron all the time as I can talk to her about my health
Communication,Difficulties getting through to office number nobody to talk to  Broken sessions due to therapist cancellations was not kept informed of things when changed therapists
Access to Services,Let the HV visit more often
Privacy and Dignity,Personal care eg shaving and nail trimming
Couldn't be improved,nothing
Staff/Staff Attitude,Instruct ward staff on issues of basic courtesy
Communication,Give the young people a chance to talk Show more respect listen when we talk
Couldn't be improved,nothing
Couldn't be improved,Absolutely nothing
Communication,Instuctions what to do and why given on different occasions as variables
Couldn't be improved,Nothing
Care/ Treatment,Think could do with medication middle of day as get bit down towards evening
Couldn't be improved,nothing girls cant do enough
Staff/Staff Attitude,The involvement between staff and service users Some better than others The amount of choice for activities not planned to do more for both young and old More distractions etc More choice we are still people Xxx
Communication,Ensure that the staff at the centre point of access acutally pass on messages
Couldn't be improved,Nothing as it is fantastic
Staff/Staff Attitude,Better doctor
Access to Services,would prefer home visits for reviews as my child is more comfortable in his own home
Care/ Treatment,Stop ballsing our meds up every time we order them Make sure we dont have to wait 8 to 9 weeks for a doctor  You dont give a damn about our health
Access to Services,Acupuncture how quick I can see my worker
Environment/Facilities,Hammocks in the garden please Wife please
Staff/Staff Attitude,would be good if  could visit us more than once a week my husband really picks up and will do more for  than me ie make a coffee
Couldn't be improved,Not as I know of
Couldn't be improved,Nothing
Staff/Staff Attitude,More staff availability
Care/ Treatment,More practical  so role playing senerios etc eg  tutor or other students can role play a situation and we came up with quick assertive responses
Communication,Did not like American wording on form
Couldn't be improved,Nothing
Couldn't be improved,nothing 
Couldn't be improved,Nothing
Couldn't be improved,Nothing 
Communication,If late just say sorry being late you dont have to explain why its just polite
Staff/Staff Attitude,More continuity
Environment/Facilities,more toys maybe but only improvement to enviroemnt not service which was outstanding 
Couldn't be improved,Service very good
Care/ Treatment,Key worker to introduce themselves Introduction of service user budding system for newbys More oral communication on admission before strip search
Couldn't be improved,Nothing always very helpful and supportive
Access to Services,I have more than one mental health problem and unfortunately due to restrictions on the number of sessions available I will leave therapy still suffering  The waiting list time is atrocious and there is no support for people whilst on the waiting list
Access to Services,be open more days
Couldn't be improved,nothing 
Care/ Treatment,Trainee with more confidence sounded like a leaflet or textbook  Kept fidgeting
Couldn't be improved,I dont think you could improve
Care/ Treatment,I dont think it could be any better than it is at the moment
Staff/Staff Attitude,More staff
Privacy and Dignity,MORE PRIVACY  DIFFICULT I KNOW WITH LIMITED RESOURCES
Communication,Book repeat prescriptions over the phone or online
Food,Maybe more choice of food and use our mobile phones in the office
Care/ Treatment,Not to be medicated
Staff/Staff Attitude,More CPN workers so you can see them more often
Environment/Facilities,Better parking at Lakeside  Langold
Couldn't be improved,nothing
Care/ Treatment,You could do better by doing more grown up thing for the older people
Communication,Told me more about the medicine
Communication,If events could be advertised online with detail about event
Staff/Staff Attitude,Would like more time with named nurse                                                                                                                                                                                                                         
Communication,Telephone number  ease of contact
Couldn't be improved,Nothing 
Staff/Staff Attitude,More food more fitness more fresh air Not enough choice of food on the main menu Staff work too long should have 2 12 12 hour shifts 8am  8pm start 830am finish  830 finish CPAs should be 6 monthly planning meetings then get your CPA doc to you by 2 weeks after I was given the Rampton Treatment the hard way or the really hard way They dont include Pts comments on the CPA doc Not enough fresh air fitness food
Couldn't be improved,Nothing service is good
Couldn't be improved,I dont think there is any way we could have been hel ped any better the last few weeks 
Environment/Facilities,Family room could be nicer environment  No facilities  Been felt isolated and uncomfortable sleeping on chair all night 
Service Quality/Outcomes,Three times I ended up in AE department  For whole family  awful as have to wait in waiting room  One group returned  didnt work out through lack of communication
Environment/Facilities,Pulmonary Rehab equivalent in a more personal setting than a gym
Access to Services,expert care available at weekends
Couldn't be improved,Nothing better 
Couldn't be improved,Nothing
Couldn't be improved,Very friendly helpful nurses perfect as it is
Couldn't be improved,There wasnt a lot that you could do better
Couldn't be improved,I cant think of anything
Couldn't be improved,Nothing
Couldn't be improved,Doing the same thing they do
Communication,More information on support networkmums groups as new to the area  Did not have a Buzz mag  got my oiwn and didnt advise much on other groups I could join
Couldn't be improved,Nothing I think the service is brilliant
Couldn't be improved,Alright as it is
Couldn't be improved,Very happy
Couldn't be improved,Treatment 18 Good nothing
Couldn't be improved,Nothing  Its fab
Couldn't be improved,nothing
Access to Services,GP5wk wait nawful for a 2 year old
Care/ Treatment,More understanding of personality disorders 
Care/ Treatment,Feel as though the care is not ongoing or monitored eg once you started on a course of tablets after a time youre on your own For months or years until it gets so bad that your calling crisis or having multiple appointments with your GP
Staff/Staff Attitude,Support the staff better
Care/ Treatment,A dog on the ward to look after
Staff/Staff Attitude,Reduce waiting time to see a doctor dentist
Communication,The only problem was the phone line was very quiet at times I struggled to hear and had to ask to repeat questions
Access to Services,Quicker response to call button
Couldn't be improved,Nothing
Couldn't be improved,None
Staff/Staff Attitude,Sometimes the weigh in sessions are very busy and staff are rushed due to the number of people waiting
Care/ Treatment,More available appointments like dentist doctor
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Couldn't be improved,Nothing service excellent
Staff/Staff Attitude,It would really help to be able to see the same doctor at a reasonable frequency
Staff/Staff Attitude, I do not receive any support
Food,Recipe ideas More info on baby led rather than mush and pouches
Service Quality/Outcomes,Healthcare are shit in HMP Nottingham apart from Mental Health
Care/ Treatment,At the end of a session I didnt come away from the session with any ideas on how to improve things for the following week I think this kind of therapy is better suited if you have one specific problem ie OCD
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Couldn't be improved,Just keep doing what you are  The course was extremely helpful and enjoyable for me personally
Staff/Staff Attitude,Have better understanding from the doctors I dont believe the doctors are any other than quick text book types Sorry but people agree
Access to Services,Sometimes it is difficult and I would like to see someone more often such as psychiatrist psychologist etc
Care/ Treatment,Pain was an issue  medical staff
Couldn't be improved,nothing
Service Quality/Outcomes,Everything
Food,They could keep me more informed  The food is a bit rubbish We got enough but it is sloppy food Activities make me feel better but we could do with them more often
Food,More chicken
Access to Services,Clinic in arnold
Communication,Refuse to complete again
Access to Services,Extra appointments for follow up
Couldn't be improved,nothing
Couldn't be improved,Nothing
Couldn't be improved,I dont know 
Couldn't be improved,nothing at the moment
Communication,A DVD showing the relevant exercises
Environment/Facilities,Car park abit steep
Environment/Facilities,More toys provided changing mats
Access to Services,I was told that I would be referred to the GP for consultation however this did not happen and I wasnt told why this was  
Couldn't be improved,nothing
Service Quality/Outcomes,My daughter is locked in her room all the time My daughter is sedated  I have grave concerns about the people nursing my daughter at Rampton  I have been offered no reassurances that my daughters treatment will improve  My daughter is treated worse than an animal  My daughter is getting worse not better My daughter gets no fresh air and no exercise 
Couldn't be improved,Call for care are excellent and I cant think of anything these could be improved
Service Quality/Outcomes,This is a reflection of my views on our childrens centre and not Meden Medical as I have a very poor opinion of our health centre service in Warsop I have also noticed that it becomes difficult to attend sessions when parents have a baby and parents often become excluded from sessions for their first born 
Couldn't be improved,There is nothing I can think of that could be improved
Staff/Staff Attitude,GP contracted to provide his GP function of primary health service He is dismissive and has got diagnosis wrong
Care/ Treatment,When people come in maybe not stop their med as I understand personally people present unstable but stopping their medication isnt the answer  When I got to the prison I was cut off 4 different medications at the same time 
Couldn't be improved,I could not improve anything
Communication,surveys could be more relevant to surestart and not a medical profession
Care/ Treatment,Personally would prefer an appointment system rather than a dropin clinic
Environment/Facilities,XRay Department
Communication,Text messages to remind about appointments Easier to obtain takeaway methadone script when been testing clean 90 of time for 3 years
Access to Services,Often a long wait if want to pop in for a blood test still have to wait a long  great for the child but not always conveinient for the parent
Couldn't be improved,Nothing
Care/ Treatment,Times of visits
Communication,You could maybe include more about other things but overall it was good
Access to Services,Would have liked longer sessions 
Couldn't be improved,Nothing
Care/ Treatment,Im over 40 years old so classed as a mature prisoner I cant understand why I cant be trusted to have my medication in my possession I need it so the risk of me giving it to someone else is Zero I think this needs sorting out
Communication,I would make IDTS  and  Doctor work together
Staff/Staff Attitude,We are new to the area and found our new GP Practice rather impersonal compared to our previous one It seemed more like a business than a publicservice
Couldn't be improved,Nothing
Care/ Treatment,Ordering of medication earlier
Care/ Treatment,To be able to see the named nurse
Privacy and Dignity,Better curtains for privacy
Care/ Treatment,Better organisation of repeat prescription system at times this has failed in my experience with medicines arriving late and when I have run out I do not knoe if this is a suitable box to suggest a lockable medicine locker similar to the oneds on NHS wards should be installed in each cell the keys to be divided between healthcare and prisoners this would prevent meds theft and may also alleviate some aspects of bullying
Service Quality/Outcomes,Learning development interesting still treatment plan achieve goals
Couldn't be improved,Nothing excellent
Couldn't be improved,Nothing everything is fine
Couldn't be improved,cant think of single thing
Care/ Treatment,Have trimmed visit
Staff/Staff Attitude,MORE FACE TO FACE TIME APPOINTMENTS INSTED OF TELEPHONE APPOINTMETNS DURING THE FIRST STAGES OF TREATMENT
Food,Less carrots more greens
Couldn't be improved,nothing
Staff/Staff Attitude,Attended each sectionstation so that we could see everything
Couldn't be improved,Nothing
Access to Services,I have basically been refused sessions of CBT andor counselling as I have to work shifts and cannot guarantee I will be available at x hours on x day for the foreseeable future That is disgusting The lovely ladies I spoke to both said I am in dire need of help but the services are inflexible  useless If I ever do commit suicide Im blaming the Tories and sending a copy to the press The two staff I did speak to were fantastic Its the PROTOCOL Im furious and disgusted by 
Care/ Treatment,More people to talk to us so we are not left alone just to sit around all day
Couldn't be improved,nothing me  my son felt confident  relaxed during the session
Communication,Day nurses conversing more with evening nurses and vice versa
Couldn't be improved,everything
Care/ Treatment,Being taken seriously and having the opportunity to be actively involved and listened to
Access to Services,Getting more social support services
Couldn't be improved,Nothing
Staff/Staff Attitude,The mannerisms of some staff and first off attitude towards patients
Couldn't be improved,Nothing comes to mind
Couldn't be improved,Nothing
Couldn't be improved,Nothing everything was great
Couldn't be improved,nothing
Care/ Treatment,To have been more focused on my low med rather than anxiety which wasnt as big as an issue
Communication,Our complaints are not been believed and getting thrown out because we have no proof and it is our word against theirs so we are not listened to We are spoken to without respect and courtesy and without equality with staff Because it could be better on patients safety and wish our voices would be heard more in respects of complaint for when we have no proof for our complaints to get thrown out
Involvement,To get more of a say and to get involved more
Environment/Facilities,Get marker pens that really work
Couldn't be improved,That many more people with mental health issues could receive the excellent kind of diagnosis treatment and care that I have under Dr Xs team This did not apply to previous experience at Bassetlaw Hospital and elsewhere
Care/ Treatment,Earlier appointment  took 2 weeks after receiving letter asking me to make appointment computers down
Couldn't be improved,nothing it was brilliant
Couldn't be improved,Nothing everything fine 
Service Quality/Outcomes,Give patients realistic goals and not to string patients along                                                                                                                                                                                                
Access to Services,Get more government funding
Couldn't be improved,Nothing
Couldn't be improved,happy with the service provided
Access to Services,Longer time
Couldn't be improved,Dont know Dont think theres anything                                                                                                                                                                                                                     
Couldn't be improved,Nothing could be done better everything was great
Couldn't be improved,very good service
Couldn't be improved,No everything all right by me
Couldn't be improved,Nothing 
Communication,A bit more communication
Communication,Dont want to partake in this Filled out this before
Couldn't be improved,Nothing at this stage
Communication,Updating the website more offed for whats up and come up and when class start again
Access to Services,If the dentist was open full time
Staff/Staff Attitude,I think it would be better if you seen by the same nurse every timeBandages are inconsitant and sometimes I have to remove them
Food,Serve tea coffee and biscuits 
Couldn't be improved,None Completing therapy was helpful and I am more confident and self esteem higher
Couldn't be improved,I there nothing change 
Couldn't be improved,Could not be improved on
Access to Services,It would be better if we still had a healht visitor present at weigh ins as I find it very helpful
Access to Services,I found it difficult to access the scheme in the beginning and had to use my local MP It is just a shame that the sessions have now finished when I have more trauma to deal with
Couldn't be improved,I do not think that anything needs to be improved
Staff/Staff Attitude,CPNs as required
Couldn't be improved,nothing youve done everything you can
Couldn't be improved,Nothing
Couldn't be improved,No
Couldn't be improved,Nothing at all
Couldn't be improved,You couldnt do anything better
Couldn't be improved,Could not do much better
Couldn't be improved,Nothing
Couldn't be improved,NO
Couldn't be improved,Nothing perfect service thankyou
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Environment/Facilities,Maybe include a health centre where we can talk to experts about nutrition and other stuff but I think this might not be appropriate
Couldn't be improved,nothng
Couldn't be improved,no
Access to Services,Waiting for meds
Access to Services,more weigh in groups  help groups
Privacy and Dignity,More privacy when your having the jab
Food,Food could be better
Couldn't be improved,Nothing Carla an the service was fantastic and really helpful
Staff/Staff Attitude,staff do an excellent job but overworked
Couldn't be improved,No
Care/ Treatment,More remedial gym
Staff/Staff Attitude,Each patient see the same podiatrist for further appointments  Let the podiatrist make their patients further appointments  They know their feet  better than anyone else
Couldn't be improved,Nothing
Couldn't be improved,Nothing really 
Couldn't be improved,Nothing care has been excellent
Service Quality/Outcomes,BREAST FEEDING GROUP
Access to Services,More toddler and baby groups
Involvement,More patients involvement and say in treatment offered More 1 to 1 key work and case worker involvement especially with recovery worker and client
Couldn't be improved,Nothing
Couldn't be improved,Could not improve
Communication,Nice if she got in touch a bit more often
Access to Services,Centre lesson at Macmillan
Access to Services,See more
Care/ Treatment,More activities
Communication,Better communication between district nurseGPpharmacy
Couldn't be improved,Nothing                                                                                                                                                                                                                                                        
Couldn't be improved,Nothing
Couldn't be improved,no
Care/ Treatment,Earlier appointment times Starting earlier
Access to Services,Being treated sooner as waited over 2 months for first appointment
Couldn't be improved,Dont think they could do better
Care/ Treatment,Maintaining on script also better help with mental health
Care/ Treatment,How staff take not showing signs of illness  Very different row much calmer so want to move on
Couldn't be improved,Nothing
Couldn't be improved,The care I have received could not be improved upon
Couldn't be improved,Everything has been done pretty well
Care/ Treatment,Knowledge of previous history
Couldn't be improved,You cannot improve on perfection
Access to Services,I hope that I will be able to continue being cared for by the same MH team for as long as I need it
Care/ Treatment,Feeding
Environment/Facilities,Really happy with the group but would like more space and more high chairs
Couldn't be improved,Personally I cannot think if one thing
Couldn't be improved,No being here is wonderful
Couldn't be improved,Cannot think of anything other than providing your staff with a better printer
Couldn't be improved,Nothing
Access to Services,Wish there was more treatment available 
Couldn't be improved,Nothing
Staff/Staff Attitude,More face to face contact be it home visits or clinic
Communication,To listen to me and not brush me aside with comments like you are an intelligent person I may be intelligent but that doesnt help
Environment/Facilities,Provide nappy bins
Couldn't be improved,nothing
Staff/Staff Attitude,Not too stern college staff
Environment/Facilities,I attend the dental at Newgate stworksop and find  iddifculty accessing the dental chair abd the surgery due to bing in a wheel chair
Couldn't be improved,Nothing
Couldn't be improved,not a thing brilliant service
Access to Services,Possibly to make the service a little longer as I felt 10 weeks was a bit rushed but apart from that I felt the service on the whole was fine
Access to Services,Would have like to go on a bit longer
Couldn't be improved,Nothing didnt get asked original questions
Communication,To allow the time in ward rounds to articulate my views The releasing time to care initiative places emphasis on time management which has the effect of ward rounds being rushed
Communication,Things are a little confusing sometimes The staff arent always able to give accurate answers to questions and the way the college is run hasnt been explained properly since the change in their pathways
Service Quality/Outcomes,Still suffering from pain in finger
Staff/Staff Attitude,More time with me I would like to see the same faces
Staff/Staff Attitude,More staff
